422-092815	208-9-10-14_S11	62-10-2-13_S6	115-031814	272-121914
ABCA3	7.84460744740241	0.320512275153214	5.96920822022802	12.9464652381158	1.56540982520659
ABCA4	0.0603394150653819	0.177778023994213	0.0752634524466512	0.0945549851473364	0.0876152330811728
ABCA5	3.87411203533174	7.7474803889924	7.1295893519842	4.09312100137475	2.3496188853485
ABCA6	0.556080207569124	4.12739557349763	2.06005832163518	0.802938804789103	1.65022716713045
ABCA7	7.32488856957212	2.39463768602881	1.97553402423279	25.9462971937437	17.0600036191149
ABCA8	1.8406816103044	1.40357885565535	8.72947498013128	0.42854586371376	4.66393650824792
ABCA9	0.608311400567139	2.7738525573951	1.49123493026399	0.832789090118637	1.65617320024792
ABCB1	1.84441081702313	1.03837498807513	1.86485463109064	1.07073592619425	3.06399425488032
ABCB10	29.8201962783286	8.33420620236436	20.7254058085893	16.5004382765186	19.2429483573548
ABCB4	1.95760033729093	1.02898343945853	2.96976000303435	0.446505914851626	0.784372865256858
ABCB5	7.95399696745689	96.6021136211272	70.0487546729859	65.630319891435	3.16501277017255
ABCB6	26.1795310891729	3.16088481491818	31.0153188031895	50.7450794919377	33.5634210608637
ABCB7	13.5273505210781	16.8672914787261	24.249273668485	9.47647179591805	19.0495974048835
ABCB8	31.9018838525217	1.76732179624122	5.55804126899848	30.2299371180747	16.7591559121953
ABCB9	5.29360574857735	0.941845949514475	0.891915697193428	6.0437579723922	29.7097967867058
ABCC1	9.22309707329635	16.4338767379051	5.83227860508358	13.4307799459545	9.03980531264318
ABCC10	13.8978999671343	6.12443039376101	3.94008471844554	12.1302310902649	21.8194630370249
ABCC11	0.420551141184061	0.185860479722585	3.0912047285007	66.6557114819518	0.294423911288115
ABCC2	0.406173043179255	5.47501019175451	1.01121307564286	2.85513100264622	4.054733584172
ABCC3	1.2032407094642	0.620357636427499	0.468664649289634	1.84169066524476	6.09472122216232
ABCC4	10.9301507783461	16.2827395686012	7.62962671474856	9.72948466410054	5.46421229420308
ABCC5	9.03559768745566	10.7840720041911	57.8595653445422	26.3238419743584	22.2084138950334
ABCC6	0.132205343466189	0.0814150284883687	0.201295681889835	0.106545915272973	0.100782896787334
ABCC9	3.75154628918347	6.10701140855683	11.3475698186821	0.667964304725688	1.89075265337543
ABCD1	44.1692510979194	10.7807501907235	10.8888839481538	186.740856500664	139.578277146458
ABCD2	0.831626212123325	0.273264575332297	0.795072766372831	0.316491744209288	2.82265834243768
ABCD3	8.07473285442692	13.2682420706252	23.3456811418706	10.0376513610019	10.8440618443628
ABCD4	12.1899487378229	11.5589300865254	8.38893645028795	26.00293989824	27.5168315561826
ABCE1	67.7224696806053	89.1960392869131	62.6251215127775	37.6769577950868	84.3178960841683
ABCF1	16.9728020246667	0	0	15.6402485791206	16.1824953504679
ABCF2	103.473882862305	27.1572703667383	45.1295846619383	47.9609499180755	37.8646205980946
ABCF3	79.287108361559	12.9137166238379	16.8327594418377	100.734581375149	84.3213201473519
ABCG1	11.4575532974725	2.19780564255366	6.5339141569847	42.0192106656471	19.0729298772912
ABCG2	1.45943407627088	0.351614535304094	6.33025140607978	1.25125096228046	0.659418343494147
ABHD1	1.32532449470641	0.538723411043922	1.05231583685565	0	0.222048915454862
