6	18	2	3	4	6.1	6.2	8	9	•15	16	18.1	24	25	49	50	52	54
ANGPT4	1.387	0.2619	3.327	0.1722	3.445	4.181	2.186	4.793	4.218	0	0	2.94	3.459	0	2.342	3.435	5.457	2.93
AOC3	7.887	9.474	5.715	9.185	9.729	11.53	7.026	7.87	8.33	7.978	6.792	12.74	6.299	6.51	6.932	9.037	9.355	7.242
ARG1	10.03	5.306	3.327	4.603	3.445	4.181	0	9.79	5.072	6.111	6.611	9.952	1.419	0	3.06	1.747	6.911	3.86
ARG2	3.994	0	4.854	5.001	3.218	2.164	5.572	6.088	4.32	5.867	6.998	0	6.383	5.313	5.532	4.843	0	5.185
B2M	16.04	17.36	18.22	17.02	16.39	17.07	16.73	17.58	17.75	15.04	15.78	20.88	17.24	14.96	15.93	17.48	18.64	16.77
BATF3	4.303	0	5.715	5.313	5.868	4.54	2.633	5.084	4.108	3.803	4.142	2.94	5.347	3.062	4.421	4.305	6.219	3.86
BCAM	7.283	8.758	6.419	7.363	7.417	9.522	4.792	8.598	7.732	8.124	5.236	11.07	6.186	7.288	7.441	8.022	6.715	7.599
BCAN	0	7.73	0	0	0	0	0	0	1.842	6.27	6.566	0	1.949	8.715	6.985	0	0	3.86
BECN1	9.93	12.44	11.12	10.72	10.44	10.22	9.916	10.79	10.31	10.73	10.04	14.57	10.38	10.21	10.47	10.68	11.7	10.91
BGN	8.17	9.148	10.15	11.54	12.3	9.771	7.262	9.244	9.565	9.443	8.439	14.88	7.644	9.979	8.288	10.38	14.21	9.769
BID	8.244	0	8.329	8.588	9.328	8.016	7.735	9.214	8.628	8.124	8.15	9.13	8.43	7.36	7.722	8.882	8.317	8.526
BMPR1A	9.01	11.27	9.58	9.898	9.374	9.635	8.473	10.11	9.322	9.262	9.037	12.87	8.879	9.225	8.178	9.957	11.96	9.437
BMPR1B	7.695	10.36	3.327	5.166	7.071	7.722	7.569	4.793	4.416	4.169	7.117	9.416	2.893	3.486	3.454	5.943	9.421	8.789
BMPR2	10.27	10.31	9.183	9.834	9.674	10.57	10.75	9.925	9.382	9.437	10.92	9.76	9.439	9.495	9.65	10.23	10.94	10.06
BST2	13.21	13.12	15.29	12.73	12.89	15	15.18	13.15	13	13.89	14.15	16.04	13.55	12.37	13.63	14.24	15.47	12.86
C3	10.22	6.976	10.52	10.67	9.751	9.205	5.76	10.86	10.08	9.44	7.913	0	10.52	8.936	4.33	11.52	9.421	10.7
