148-6-5-14_S9	422-092815	208-3-11-15_S13	39-3-31-14_S15	42-10-17-14_S3	62-10-2-13_S6	MGH42_101714.bam	MGH208_031115-2.bam	MGH39_033114.bam	MGH208_031115-1.bam	MGH42_101714_1.bam
AARS	61.8735416661475	166.628236105516	25.0180904699192	24.0564950268659	47.256360580853	27.5354881107751	163.460850637222	61.343149664258	78.6065413885131	83.1516959874358	158.267288118576
AARS2	9.83017188364576	25.5972551542369	33.6108294479516	18.6710508809022	23.2416551557629	14.5233232279146	35.0145962859813	89.9265072197676	33.9764048142826	113.108038284848	11.5106031292951
AARSD1	0	0.215602318850383	0.187040732684293	0	0.192655902630005	0	0	0.247276344820424	0.468858146221546	0.193479532918346	0.0945527923408318
AASDH	8.78903943440146	10.4791194892198	11.7870333968319	11.4408305855795	11.0746730505292	27.1392012783564	11.3788071310362	12.061990006563	15.1373859848196	12.6969154741865	16.8797831282807
AASDHPPT	12.3127434382477	12.7794194824411	7.96607377853767	16.6598449642816	14.023572891981	10.0577644748487	13.4715968125503	8.62399611709023	14.7616888327783	4.50367984263647	10.6354206349735
AASS	11.461153542147	11.6503520026932	32.7941007636759	45.5911399714771	38.7472027610349	25.5274115479144	56.3909671443995	35.3046581632896	30.3367684326505	51.8907184143671	51.0285341122198
AATF	61.3519174500364	66.9675022288574	28.4740294859683	40.9207264029166	77.1431184154414	26.0562715525342	98.4799467527878	35.9269290637128	67.7810778640182	34.128603387644	58.7704283238333
AATK	0.563135595783468	6.84662759194636	0.377393667046449	2.28649165317952	0	1.72343271138958	0.718836182050656	4.13731876001545	44.5708613391688	5.47518630581957	0.197154383276418
ABAT	3.8152247261406	1.84545145549945	1.51279073097975	1.99882633130143	13.3387895874776	2.8098819562793	33.877920122193	4.04244996078546	1.99575287311627	6.60198486904967	23.992291218091
ABCA1	19.1360152251694	17.2063400238565	13.4470027457411	52.3297719469759	23.2664234854167	16.5735825069846	17.6576011797577	6.75001305588147	19.8093455440745	9.68835192584601	8.83840475932863
ABCA10	0.865799779100188	0.302675740040469	2.81052898122508	0.378587136484285	3.48336205570116	1.60507656099	2.15317035183289	4.94899417315267	0.627832776180387	7.45905963856105	3.10405048244697
ABCA11P	0	0	0	0	0	0	0	0	0	0	0
ABCA13	0.489641314084924	0.034404359357315	0.134310126032836	0.543905479131352	1.29119447115775	0.0407908668908063	0.37840465455608	0.118376058380924	0.149634421709578	0.0694668484187869	0.615567961363901
ABCA2	2.62747224716545	8.55436168299595	8.67341161097002	3.00174562740667	5.16577269970604	9.8085489916704	16.1529908658877	33.4722982827486	23.6733558287017	50.7130791138671	5.46735243102572
ABCA3	3.53626249466925	7.84460744740241	1.61147154955942	2.30785681769689	2.12726500721055	5.96920822022802	12.4058677667962	2.62414095416803	11.7863724757847	4.83977889314497	5.71531783940896
ABCA4	0.201994415672019	0.0603394150653819	0.0290384435070836	1.58215160850973	0	0.0752634524466512	0.0722348438322979	0.169164960687093	1.27717594770608	0.270740173520993	0
ABCA5	3.43120919975213	3.87411203533174	8.1769930254441	11.7898977451995	17.1589703083604	7.1295893519842	9.7140584359225	10.8492507228682	6.04120660064916	12.309398358876	4.99711368905247
ABCA6	1.97229324210392	0.556080207569124	19.2649245087457	1.2043897041383	2.23832059135341	2.06005832163518	2.02208480948074	2.6999085167172	0.701380148709447	7.36056344912978	2.19168766310832
ABCA7	1.85329919997784	7.32488856957212	3.66565764281427	0.461183861518981	0.495000468043469	1.97553402423279	5.00527491266952	41.8314492933913	6.10847379432702	60.3036106328805	2.64828860922485
ABCA8	3.83088586244013	1.8406816103044	10.0068648776957	22.8516328097023	10.0879781708048	8.72947498013128	7.69041440556153	2.42072249674634	10.8022930991273	8.36917423662678	5.12159334888705
ABCA9	0.665738679291893	0.608311400567139	5.82734293556077	0.327913833893914	17.6293289338706	1.49123493026399	9.57909226372309	5.84976266585906	0.28492376431583	12.1566181225692	7.29931225215373
ABCB1	4.83017149020603	1.84441081702313	2.02751555545527	6.97413337997675	0.392889643354635	1.86485463109064	0.477157194176731	1.02780799229609	8.94642605804335	2.1040134665093	0.301612447812608
ABCB10	13.7134047945939	29.8201962783286	15.8820401778245	38.026955089834	23.1301495303676	20.7254058085893	33.9668254270527	33.1753270917594	28.0398009580315	28.652169052619	44.6469490731846
ABCB4	13.2912166420564	1.95760033729093	1.46070615565715	20.3878894040269	3.82972016961439	2.96976000303435	1.79080718103913	0.819000270892612	27.5666174449366	1.06066867448464	1.80718822948196
ABCB5	6.05370873947572	7.95399696745689	64.0246885328264	156.59146797281	299.345501920898	70.0487546729859	143.946816054779	39.3700829476467	60.8226139532738	46.721990265277	105.060404861371
ABCB6	10.2641562266566	26.1795310891729	4.25068508385313	8.23224958021679	9.17159266525985	31.0153188031895	46.1338521462695	9.33630365692304	35.8156368887923	20.3374574424067	30.1157944312478
ABCB7	15.1272058855934	13.5273505210781	30.1622086269137	38.1752247390042	36.3276541118477	24.249273668485	18.3754837475808	23.0936406898538	36.923611092627	18.1043301305607	20.1233174134312
ABCB8	3.92688358214947	31.9018838525217	3.17474000670088	2.17230259197721	3.33554503446058	5.55804126899848	38.5367457510993	39.0707725886744	36.6018768856371	44.9875743578288	23.8758593513263
ABCB9	4.84601512235014	5.29360574857735	0.931342688628223	2.0873995828619	0.123347753639634	0.891915697193428	0.848731795282942	5.55089065262957	6.84124151484964	8.27932606425401	0.273339609908564
